position,points,rider_number,rider_name,time_gap,weather_air_temp,weather_track_cond,weather_humidity
1,25,93,M. Marquez,39:37.244,36º,Dry,41%
2,20,73,A. Marquez,+1.732,36º,Dry,41%
3,16,63,F. Bagnaia,+2.398,36º,Dry,41%
4,13,21,F. Morbidelli,+5.176,36º,Dry,41%
5,11,79,A. Ogura,+7.450,36º,Dry,41%
6,10,72,M. Bezzecchi,+14.967,36º,Dry,41%
7,9,5,J. Zarco,+15.225,36º,Dry,41%
8,8,33,B. Binder,+19.929,36º,Dry,41%
9,7,23,E. Bastianini,+20.053,36º,Dry,41%
10,6,49,F. Di Giannantonio,+21.546,36º,Dry,41%
11,5,43,J. Miller,+22.315,36º,Dry,41%
12,4,10,L. Marini,+23.940,36º,Dry,41%
13,3,54,F. Aldeguer,+24.760,36º,Dry,41%
14,2,88,M. Oliveira,+26.097,36º,Dry,41%
15,1,20,F. Quartararo,+26.456,36º,Dry,41%
16,,12,M. Viñales,+28.770,36º,Dry,41%
17,,42,A. Rins,+31.095,36º,Dry,41%
18,,35,S. Chantra,+31.480,36º,Dry,41%
19,,37,P. Acosta,+42.115,36º,Dry,41%
20,,32,L. Savadori,+46.827,36º,Dry,41%
,,25,R. Fernandez,22 laps,36º,Dry,41%
,,36,J. Mir,14 laps,36º,Dry,41%
