season,position,points,rider_number,rider_name,time_gap,weather_air_temp,weather_track_cond,weather_humidity
2025,1,25,93,M. Marquez,41:11.100,26º,Dry,67%
2025,2,20,73,A. Marquez,+1.362,26º,Dry,67%
2025,3,16,21,F. Morbidelli,+4.695,26º,Dry,67%
2025,4,13,63,F. Bagnaia,+5.536,26º,Dry,67%
2025,5,11,49,F. Di Giannantonio,+7.138,26º,Dry,67%
2025,6,10,5,J. Zarco,+7.487,26º,Dry,67%
2025,7,9,33,B. Binder,+14.294,26º,Dry,67%
2025,8,8,37,P. Acosta,+15.646,26º,Dry,67%
2025,9,7,36,J. Mir,+15.787,26º,Dry,67%
2025,10,6,10,L. Marini,+16.025,26º,Dry,67%
2025,11,5,42,A. Rins,+21.663,26º,Dry,67%
2025,12,4,12,M. Viñales,+22.319,26º,Dry,67%
2025,13,3,43,J. Miller,+23.486,26º,Dry,67%
2025,14,2,20,F. Quartararo,+25.148,26º,Dry,67%
2025,15,1,25,R. Fernandez,+26.914,26º,Dry,67%
2025,16,,54,F. Aldeguer,+27.661,26º,Dry,67%
2025,17,,23,E. Bastianini,+40.179,26º,Dry,67%
2025,18,,35,S. Chantra,+41.693,26º,Dry,67%
2025,,,72,M. Bezzecchi,,26º,Dry,67%
2025,,,79,A. Ogura,,26º,Dry,67%
2024,1,25,1,F. Bagnaia,40:24.740,18º,Dry,63%
2024,2,20,93,M. Marquez,+1.474,18º,Dry,63%
2024,3,16,89,J. Martin,+3.810,18º,Dry,63%
2024,4,13,73,A. Marquez,+5.322,18º,Dry,63%
2024,5,11,41,A. Espargaro,+5.753,18º,Dry,63%
2024,6,10,33,B. Binder,+7.081,18º,Dry,63%
2024,7,9,23,E. Bastianini,+7.393,18º,Dry,63%
2024,8,8,21,F. Morbidelli,+8.709,18º,Dry,63%
2024,9,7,72,M. Bezzecchi,+10.484,18º,Dry,63%
2024,10,6,31,P. Acosta,+10.618,18º,Dry,63%
2024,11,5,20,F. Quartararo,+10.756,18º,Dry,63%
2024,12,4,88,M. Oliveira,+13.464,18º,Dry,63%
2024,13,3,43,J. Miller,+14.560,18º,Dry,63%
2024,14,2,5,J. Zarco,+19.469,18º,Dry,63%
2024,15,1,12,M. Viñales,+22.195,18º,Dry,63%
2024,16,,10,L. Marini,+23.890,18º,Dry,63%
2024,17,,30,T. Nakagami,+23.960,18º,Dry,63%
2024,18,,25,R. Fernandez,+29.001,18º,Dry,63%
2024,19,,37,A. Fernandez,+29.145,18º,Dry,63%
2024,20,,51,M. Pirro,+37.295,18º,Dry,63%
2024,21,,42,A. Rins,+39.138,18º,Dry,63%
2024,22,,6,S. Bradl,+47.654,18º,Dry,63%
2024,,,36,J. Mir,6 laps,18º,Dry,63%
2023,1,25,72,M. Bezzecchi,44:28.518,18º,Wet,57%
2023,2,20,5,J. Zarco,+4.085,18º,Wet,57%
2023,3,16,73,A. Marquez,+4.681,18º,Wet,57%
2023,4,13,21,F. Morbidelli,+7.581,18º,Wet,57%
2023,5,11,89,J. Martin,+9.746,18º,Wet,57%
2023,6,10,43,J. Miller,+10.562,18º,Wet,57%
2023,7,9,20,F. Quartararo,+11.095,18º,Wet,57%
2023,8,8,10,L. Marini,+13.694,18º,Wet,57%
2023,9,7,42,A. Rins,+14.327,18º,Wet,57%
2023,10,6,49,F. Di Giannantonio,+18.515,18º,Wet,57%
2023,11,5,37,A. Fernandez,+19.380,18º,Wet,57%
2023,12,4,12,M. Viñales,+26.091,18º,Wet,57%
2023,13,3,30,T. Nakagami,+28.394,18º,Wet,57%
2023,14,2,25,R. Fernandez,+29.894,18º,Wet,57%
2023,15,1,41,A. Espargaro,+36.183,18º,Wet,57%
2023,16,,1,F. Bagnaia,+47.753,18º,Wet,57%
2023,17,,33,B. Binder,+48.106,18º,Wet,57%
2022,1,25,41,A. Espargaro,41:36.198,26º,Dry,49%
2022,2,20,89,J. Martin,+0.807,26º,Dry,49%
2022,3,16,42,A. Rins,+1.330,26º,Dry,49%
2022,4,13,36,J. Mir,+1.831,26º,Dry,49%
2022,5,11,63,F. Bagnaia,+5.840,26º,Dry,49%
2022,6,10,33,B. Binder,+6.192,26º,Dry,49%
2022,7,9,12,M. Viñales,+6.540,26º,Dry,49%
2022,8,8,20,F. Quartararo,+10.215,26º,Dry,49%
2022,9,7,72,M. Bezzecchi,+12.622,26º,Dry,49%
2022,10,6,23,E. Bastianini,+12.987,26º,Dry,49%
2022,11,5,10,L. Marini,+13.962,26º,Dry,49%
2022,12,4,30,T. Nakagami,+14.002,26º,Dry,49%
2022,13,3,88,M. Oliveira,+14.456,26º,Dry,49%
2022,14,2,43,J. Miller,+14.898,26º,Dry,49%
2022,15,1,73,A. Marquez,+23.472,26º,Dry,49%
2022,16,,25,R. Fernandez,+25.862,26º,Dry,49%
2022,17,,87,R. Gardner,+28.711,26º,Dry,49%
2022,18,,40,D. Binder,+28.784,26º,Dry,49%
2022,19,,6,S. Bradl,+31.943,26º,Dry,49%
2022,20,,4,A. Dovizioso,+0.000,26º,Dry,49%
2022,,,49,F. Di Giannantonio,22 laps,26º,Dry,49%
2022,,,44,P. Espargaro,14 laps,26º,Dry,49%
2022,,,21,F. Morbidelli,7 laps,26º,Dry,49%
2022,,,5,J. Zarco,5 laps,26º,Dry,49%
2021,1,25,63,F. Bagnaia,41:15.481,20º,Dry,48%
2021,2,20,89,J. Martin,+0.489,20º,Dry,48%
2021,3,16,43,J. Miller,+0.823,20º,Dry,48%
2021,4,13,36,J. Mir,+5.214,20º,Dry,48%
2021,5,11,20,F. Quartararo,+5.439,20º,Dry,48%
2021,6,10,5,J. Zarco,+6.993,20º,Dry,48%
2021,7,9,33,B. Binder,+8.437,20º,Dry,48%
2021,8,8,23,E. Bastianini,+10.933,20º,Dry,48%
2021,9,7,41,A. Espargaro,+12.651,20º,Dry,48%
2021,10,6,46,V. Rossi,+13.468,20º,Dry,48%
2021,11,5,21,F. Morbidelli,+14.085,20º,Dry,48%
2021,12,4,4,A. Dovizioso,+16.534,20º,Dry,48%
2021,13,3,73,A. Marquez,+17.059,20º,Dry,48%
