season,position,points,rider_number,rider_name,time_gap,weather_air_temp,weather_track_cond,weather_humidity
2024,1,25,23,E. Bastianini,39:51.879,18º,Dry,55%
2024,2,20,89,J. Martin,+1.931,18º,Dry,55%
2024,3,16,1,F. Bagnaia,+5.866,18º,Dry,55%
2024,4,13,93,M. Marquez,+6.906,18º,Dry,55%
2024,5,11,49,F. Di Giannantonio,+7.736,18º,Dry,55%
2024,6,10,41,A. Espargaro,+9.514,18º,Dry,55%
2024,7,9,73,A. Marquez,+9.741,18º,Dry,55%
2024,8,8,72,M. Bezzecchi,+14.016,18º,Dry,55%
2024,9,7,31,P. Acosta,+16.386,18º,Dry,55%
2024,10,6,21,F. Morbidelli,+23.609,18º,Dry,55%
2024,11,5,20,F. Quartararo,+24.202,18º,Dry,55%
2024,12,4,43,J. Miller,+25.767,18º,Dry,55%
2024,13,3,12,M. Viñales,+26.751,18º,Dry,55%
2024,14,2,5,J. Zarco,+26.953,18º,Dry,55%
2024,15,1,30,T. Nakagami,+37.278,18º,Dry,55%
2024,16,,37,A. Fernandez,+37.605,18º,Dry,55%
2024,17,,10,L. Marini,+47.507,18º,Dry,55%
2024,18,,87,R. Gardner,+59.137,18º,Dry,55%
2024,,,36,J. Mir,11 laps,18º,Dry,55%
2024,,,88,M. Oliveira,,18º,Dry,55%
2024,,,33,B. Binder,,18º,Dry,55%
2024,,,25,R. Fernandez,,18º,Dry,55%
2023,1,25,41,A. Espargaro,40:40.367,16º,Dry,79%
2023,2,20,1,F. Bagnaia,+0.215,16º,Dry,79%
2023,3,16,33,B. Binder,+0.680,16º,Dry,79%
2023,4,13,88,M. Oliveira,+0.750,16º,Dry,79%
2023,5,11,12,M. Viñales,+2.101,16º,Dry,79%
2023,6,10,89,J. Martin,+7.903,16º,Dry,79%
2023,7,9,10,L. Marini,+9.099,16º,Dry,79%
2023,8,8,43,J. Miller,+9.298,16º,Dry,79%
2023,9,7,5,J. Zarco,+9.958,16º,Dry,79%
2023,10,6,25,R. Fernandez,+19.947,16º,Dry,79%
2023,11,5,37,A. Fernandez,+20.296,16º,Dry,79%
2023,12,4,44,P. Espargaro,+66.120,16º,Dry,79%
2023,13,3,49,F. Di Giannantonio,+87.605,16º,Dry,79%
2023,14,2,21,F. Morbidelli,+88.913,16º,Dry,79%
2023,15,1,20,F. Quartararo,+89.075,16º,Dry,79%
2023,16,,30,T. Nakagami,+98.573,16º,Dry,79%
2023,17,,27,I. Lecuona,+109.674,16º,Dry,79%
2023,,,23,E. Bastianini,16 laps,16º,Dry,79%
2023,,,93,M. Marquez,14 laps,16º,Dry,79%
2023,,,73,A. Marquez,5 laps,16º,Dry,79%
2023,,,72,M. Bezzecchi,5 laps,16º,Dry,79%
2023,,,36,J. Mir,2 laps,16º,Dry,79%
2022,1,25,63,F. Bagnaia,40:10.260,22º,Dry,46%
2022,2,20,12,M. Viñales,+0.426,22º,Dry,46%
2022,3,16,43,J. Miller,+0.614,22º,Dry,46%
2022,4,13,23,E. Bastianini,+1.651,22º,Dry,46%
2022,5,11,89,J. Martin,+1.750,22º,Dry,46%
2022,6,10,88,M. Oliveira,+2.727,22º,Dry,46%
2022,7,9,42,A. Rins,+3.021,22º,Dry,46%
2022,8,8,20,F. Quartararo,+3.819,22º,Dry,46%
2022,9,7,41,A. Espargaro,+3.958,22º,Dry,46%
2022,10,6,72,M. Bezzecchi,+6.646,22º,Dry,46%
2022,11,5,33,B. Binder,+7.730,22º,Dry,46%
2022,12,4,10,L. Marini,+13.439,22º,Dry,46%
2022,13,3,30,T. Nakagami,+13.706,22º,Dry,46%
2022,14,2,44,P. Espargaro,+13.906,22º,Dry,46%
2022,15,1,21,F. Morbidelli,+16.359,22º,Dry,46%
2022,16,,4,A. Dovizioso,+20.805,22º,Dry,46%
2022,17,,73,A. Marquez,+21.099,22º,Dry,46%
2022,18,,87,R. Gardner,+24.579,22º,Dry,46%
2022,19,,6,S. Bradl,+28.773,22º,Dry,46%
2022,20,,40,D. Binder,+33.653,22º,Dry,46%
2022,21,,25,R. Fernandez,+35.601,22º,Dry,46%
2022,22,,49,F. Di Giannantonio,+36.460,22º,Dry,46%
2022,,,36,J. Mir,14 laps,22º,Dry,46%
2022,,,5,J. Zarco,8 laps,22º,Dry,46%
2021,1,25,20,F. Quartararo,40:20.579,17º,Dry,66%
2021,2,20,42,A. Rins,+2.663,17º,Dry,66%
2021,3,16,41,A. Espargaro,+4.105,17º,Dry,66%
2021,4,13,43,J. Miller,+4.254,17º,Dry,66%
2021,5,11,44,P. Espargaro,+8.462,17º,Dry,66%
2021,6,10,33,B. Binder,+12.189,17º,Dry,66%
2021,7,9,27,I. Lecuona,+13.560,17º,Dry,66%
2021,8,8,73,A. Marquez,+14.044,17º,Dry,66%
2021,9,7,36,J. Mir,+16.226,17º,Dry,66%
2021,10,6,9,D. Petrucci,+16.287,17º,Dry,66%
2021,11,5,5,J. Zarco,+16.339,17º,Dry,66%
2021,12,4,23,E. Bastianini,+17.696,17º,Dry,66%
2021,13,3,30,T. Nakagami,+18.285,17º,Dry,66%
2021,14,2,63,F. Bagnaia,+20.913,17º,Dry,66%
2021,15,1,10,L. Marini,+21.018,17º,Dry,66%
2021,16,,88,M. Oliveira,+22.022,17º,Dry,66%
2021,17,,35,C. Crutchlow,+23.232,17º,Dry,66%
2021,18,,46,V. Rossi,+29.758,17º,Dry,66%
2021,19,,96,J. Dixon,+50.845,17º,Dry,66%
2021,,,89,J. Martin,1 laps,17º,Dry,66%
2021,,,93,M. Marquez,,17º,Dry,66%
