season,position,points,rider_number,rider_name,time_gap,weather_air_temp,weather_track_cond,weather_humidity
2024,1,25,93,M. Marquez,41:52.083,30º,Dry,51%
2024,2,20,1,F. Bagnaia,+3.102,30º,Dry,51%
2024,3,16,23,E. Bastianini,+5.428,30º,Dry,51%
2024,4,13,33,B. Binder,+14.185,30º,Dry,51%
2024,5,11,72,M. Bezzecchi,+16.725,30º,Dry,51%
2024,6,10,73,A. Marquez,+17.582,30º,Dry,51%
2024,7,9,20,F. Quartararo,+17.642,30º,Dry,51%
2024,8,8,43,J. Miller,+19.327,30º,Dry,51%
2024,9,7,49,F. Di Giannantonio,+27.946,30º,Dry,51%
2024,10,6,44,P. Espargaro,+38.781,30º,Dry,51%
2024,11,5,88,M. Oliveira,+46.386,30º,Dry,51%
2024,12,4,5,J. Zarco,+62.637,30º,Dry,51%
2024,13,3,30,T. Nakagami,+70.717,30º,Dry,51%
2024,14,2,6,S. Bradl,+77.547,30º,Dry,51%
2024,15,1,89,J. Martin,+0.000,30º,Dry,51%
2024,16,,12,M. Viñales,+0.000,30º,Dry,51%
2024,17,,31,P. Acosta,+0.000,30º,Dry,51%
2024,18,,25,R. Fernandez,+0.000,30º,Dry,51%
2024,19,,42,A. Rins,+0.000,30º,Dry,51%
2024,,,41,A. Espargaro,14 laps,30º,Dry,51%
2024,,,37,A. Fernandez,6 laps,30º,Dry,51%
2024,,,21,F. Morbidelli,6 laps,30º,Dry,51%
2023,1,25,89,J. Martin,41:33.421,29º,Dry,54%
2023,2,20,72,M. Bezzecchi,+1.350,29º,Dry,54%
2023,3,16,1,F. Bagnaia,+3.812,29º,Dry,54%
2023,4,13,26,D. Pedrosa,+4.481,29º,Dry,54%
2023,5,11,12,M. Viñales,+10.510,29º,Dry,54%
2023,6,10,88,M. Oliveira,+12.274,29º,Dry,54%
2023,8,8,25,R. Fernandez,+14.091,29º,Dry,54%
2023,9,7,10,L. Marini,+14.982,29º,Dry,54%
2023,10,6,5,J. Zarco,+15.484,29º,Dry,54%
2023,12,4,41,A. Espargaro,+15.878,29º,Dry,54%
2023,13,3,20,F. Quartararo,+15.898,29º,Dry,54%
2023,16,,37,A. Fernandez,+31.230,29º,Dry,54%
2023,17,,49,F. Di Giannantonio,+32.537,29º,Dry,54%
2023,,,43,J. Miller,9 laps,29º,Dry,54%
2022,1,25,63,F. Bagnaia,41:43.199,27º,Dry,64%
2022,2,20,23,E. Bastianini,+0.034,27º,Dry,64%
2022,3,16,12,M. Viñales,+4.212,27º,Dry,64%
2022,4,13,10,L. Marini,+5.283,27º,Dry,64%
2022,5,11,20,F. Quartararo,+5.771,27º,Dry,64%
2022,6,10,41,A. Espargaro,+10.230,27º,Dry,64%
2022,7,9,42,A. Rins,+12.496,27º,Dry,64%
2022,8,8,33,B. Binder,+14.661,27º,Dry,64%
2022,9,7,89,J. Martin,+17.732,27º,Dry,64%
2022,10,6,73,A. Marquez,+21.986,27º,Dry,64%
2022,11,5,88,M. Oliveira,+23.685,27º,Dry,64%
2022,12,4,4,A. Dovizioso,+29.276,27º,Dry,64%
2022,13,3,25,R. Fernandez,+30.433,27º,Dry,64%
2022,14,2,6,S. Bradl,+31.768,27º,Dry,64%
2022,15,1,30,T. Nakagami,+32.547,27º,Dry,64%
2022,16,,40,D. Binder,+41.857,27º,Dry,64%
2022,17,,72,M. Bezzecchi,+50.559,27º,Dry,64%
2022,18,,43,J. Miller,+53.371,27º,Dry,64%
2022,19,,87,R. Gardner,+56.613,27º,Dry,64%
2022,20,,49,F. Di Giannantonio,+57.304,27º,Dry,64%
2022,21,,92,K. Watanabe,+0.000,27º,Dry,64%
2022,,,21,F. Morbidelli,2 laps,27º,Dry,64%
2022,,,51,M. Pirro,,27º,Dry,64%
2022,,,5,J. Zarco,,27º,Dry,64%
2022,,,44,P. Espargaro,,27º,Dry,64%
2021,1,25,63,F. Bagnaia,41:48.305,26º,Dry,52%
2021,2,20,20,F. Quartararo,+0.364,26º,Dry,52%
2021,3,16,23,E. Bastianini,+4.789,26º,Dry,52%
2021,4,13,93,M. Marquez,+10.245,26º,Dry,52%
2021,5,11,43,J. Miller,+10.469,26º,Dry,52%
2021,6,10,36,J. Mir,+10.325,26º,Dry,52%
2021,7,9,44,P. Espargaro,+13.234,26º,Dry,52%
2021,8,8,41,A. Espargaro,+15.698,26º,Dry,52%
2021,9,7,33,B. Binder,+16.129,26º,Dry,52%
2021,10,6,30,T. Nakagami,+18.519,26º,Dry,52%
2021,11,5,51,M. Pirro,+20.373,26º,Dry,52%
2021,12,4,5,J. Zarco,+21.066,26º,Dry,52%
2021,13,3,12,M. Viñales,+21.258,26º,Dry,52%
2021,14,2,6,S. Bradl,+28.142,26º,Dry,52%
2021,15,1,73,A. Marquez,+30.686,26º,Dry,52%
2021,16,,9,D. Petrucci,+32.654,26º,Dry,52%
2021,17,,46,V. Rossi,+33.853,26º,Dry,52%
2021,18,,21,F. Morbidelli,+36.272,26º,Dry,52%
2021,19,,10,L. Marini,+36.839,26º,Dry,52%
2021,20,,88,M. Oliveira,+37.202,26º,Dry,52%
2021,21,,4,A. Dovizioso,+42.587,26º,Dry,52%
2021,,,42,A. Rins,17 laps,26º,Dry,52%
2021,,,27,I. Lecuona,14 laps,26º,Dry,52%
2021,,,89,J. Martin,10 laps,26º,Dry,52%
